datum,javni,zasebni
2020-11-20,113.81,34.35
2020-12-01,114.71000000000001,34.35
2020-12-10,115.11,34.35
2020-12-20,115.11,34.35
2021-01-01,114.62,34.35
2021-01-10,114.61,34.35
2021-01-20,114.31,34.6
2021-02-01,114.51,34.6
2021-02-10,115.31,34.6
2021-02-20,115.31,34.6
2021-03-01,115.11,34.6
2021-03-10,115.51,34.6
2021-03-20,115.51,34.45
2021-04-01,115.41,34.45
2021-04-10,115.41,34.45
2021-04-20,114.61,34.45
2021-05-01,114.81,34.45
2021-05-10,114.81,34.45
2021-05-20,114.81,34.45
2021-06-01,115.31,34.45
2021-06-10,115.31,34.45
2021-06-20,115.31,34.45
2021-07-01,115.31,34.45
2021-07-10,115.21000000000001,34.45
2021-07-20,115.31,34.45
2021-08-01,115.31,34.45
2021-08-10,115.31,34.45
2021-08-20,115.31,34.45
2021-09-01,115.85000000000001,34.45
2021-09-10,115.85000000000001,34.45
2021-09-20,115.85000000000001,34.45
2021-10-01,115.65,34.45
2021-10-10,115.65,34.45
2021-10-20,115.65,34.45
2021-11-01,115.65,34.45
2021-11-10,115.65,34.45
2021-11-20,115.65,34.45
2021-12-01,115.65,34.15
2021-12-10,116.15,34.15
2021-12-20,116.25,34.15
2022-01-01,116.25,34.15
2022-01-10,115.2,34.15
2022-01-20,115.2,34.15
2022-01-31,115.2,34.45
2022-02-10,115.2,34.45
2022-02-20,115.10000000000001,34.45
2022-02-28,115.10000000000001,34.45
2022-03-10,115.10000000000001,34.45
2022-03-20,114.9,34.45
2022-03-31,114.9,34.45
2022-04-10,114.9,34.45
2022-04-20,115.10000000000001,34.45
2022-04-30,115.10000000000001,34.45
2022-05-10,115.10000000000001,34.45
2022-05-20,115.10000000000001,34.45
2022-05-31,115.10000000000001,34.45
2022-06-10,115.10000000000001,34.45
2022-06-20,115.3,34.45
2022-06-30,115.3,34.45
2022-07-10,119.05,34.45
2022-07-20,119.05,34.45
2022-07-31,119.05,34.45
2022-08-10,119.05,34.45
2022-08-20,119.05,34.45
2022-08-31,119.05,34.45
2022-09-10,119.85,34.45
2022-09-20,120.15,34.45
2022-09-30,120.15,34.45
2022-10-10,120.75,34.55
2022-10-20,120.75,34.55
2022-10-31,120.71000000000001,34.55
2022-11-10,120.61,34.55
2022-11-20,120.61,34.55
2022-11-30,120.61,34.55
2022-12-10,120.76,34.55
2022-12-20,120.76,34.55
2022-12-31,120.76,34.55
2023-01-10,121.06,32.55
2023-01-20,121.76,32.55
2023-01-31,121.47,32.55
2023-02-10,121.47,32.55
2023-02-20,121.47,32.55
2023-02-28,121.47,32.55
2023-03-10,121.86,32.92
2023-03-20,121.56,32.92
2023-03-23,121.46000000000001,32.92
2023-03-24,121.46000000000001,32.92
2023-03-25,121.46000000000001,32.92
2023-03-27,121.46000000000001,32.92
2023-03-28,121.46000000000001,32.92
2023-03-29,121.46000000000001,32.92
2023-03-30,121.46000000000001,32.92
2023-03-31,121.46000000000001,32.92
2023-04-01,121.31,32.92
2023-04-03,121.31,32.92
2023-04-04,121.46000000000001,32.92
2023-04-05,121.46000000000001,32.92
2023-04-06,121.46000000000001,32.92
2023-04-07,121.46000000000001,32.92
2023-04-08,121.46000000000001,32.92
2023-04-10,121.46000000000001,32.92
2023-04-11,121.46000000000001,32.92
2023-04-12,121.46000000000001,32.92
2023-04-13,121.46000000000001,32.92
2023-04-14,121.46000000000001,32.92
2023-04-15,121.46000000000001,32.92
2023-04-17,121.46000000000001,32.92
2023-04-18,121.46000000000001,32.92
2023-04-19,121.46000000000001,32.92
2023-04-20,121.46000000000001,32.92
2023-04-21,121.46000000000001,32.92
2023-04-22,121.46000000000001,32.92
2023-04-24,121.46000000000001,32.92
2023-04-25,121.46000000000001,32.92
2023-04-26,121.46000000000001,32.92
2023-04-27,121.46000000000001,32.92
2023-04-28,121.46000000000001,32.92
2023-04-29,121.46000000000001,32.92
2023-05-01,121.66,32.92
2023-05-02,121.66,32.92
2023-05-03,121.66,32.92
2023-05-04,121.66,32.92
2023-05-05,122.66,32.92
2023-05-06,122.26,32.92
2023-05-08,122.26,32.92
2023-05-09,121.36,32.92
2023-05-10,121.36,32.92
2023-05-11,121.36,32.92
2023-05-12,121.96000000000001,32.92
2023-05-13,121.96000000000001,32.92
2023-05-15,121.96000000000001,32.92
2023-05-16,121.96000000000001,32.92
2023-05-17,121.96000000000001,32.92
2023-05-18,121.96000000000001,32.92
2023-05-19,121.96000000000001,32.92
2023-05-20,122.01,32.92
2023-05-22,122.01,32.92
2023-05-23,122.01,32.92
2023-05-24,122.01,32.92
2023-05-25,121.81,32.92
2023-05-26,121.81,32.92
2023-05-27,121.81,32.92
2023-05-29,121.81,32.92
2023-05-30,121.81,32.92
2023-05-31,121.81,32.92
2023-06-01,121.58,33.92
2023-06-02,121.58,33.92
2023-06-03,121.58,33.92
2023-06-05,121.58,33.92
2023-06-06,120.71000000000001,33.92
2023-06-07,120.71000000000001,33.92
2023-06-08,120.34,33.92
2023-06-09,121.34,33.92
2023-06-10,121.35000000000001,33.92
2023-06-12,121.03,33.92
2023-06-13,121.03,33.92
2023-06-14,121.03,33.92
2023-06-15,121.03,33.92
2023-06-16,121.03,33.92
2023-06-17,121.03,33.92
2023-06-19,121.03,33.92
2023-06-20,121.03,33.92
2023-06-21,121.03,33.92
2023-06-22,121.03,33.92
2023-06-23,121.03,33.92
2023-06-24,121.03,33.92
2023-06-26,121.03,33.92
2023-06-27,121.03,33.92
2023-06-28,121.03,33.92
2023-06-29,121.03,33.92
2023-06-30,121.03,33.92
2023-07-01,120.68,33.92
2023-07-03,120.68,33.92
2023-07-04,120.68,33.92
2023-07-05,120.68,33.92
2023-07-06,120.68,33.92
2023-07-07,120.68,33.92
2023-07-08,120.68,33.92
2023-07-10,120.68,33.92
2023-07-11,120.68,33.92
2023-07-12,120.68,33.92
2023-07-13,120.68,33.92
2023-07-14,120.68,33.92
2023-07-15,120.68,33.92
2023-07-17,120.68,33.92
2023-07-18,121.83,33.92
2023-07-19,121.83,33.92
2023-07-20,121.83,33.92
2023-07-21,121.83,33.92
2023-07-22,121.83,33.92
2023-07-24,121.83,33.92
2023-07-25,121.83,33.92
2023-07-26,121.83,33.92
2023-07-27,121.83,33.92
2023-07-28,121.83,33.92
2023-07-29,121.83,33.92
2023-07-31,121.83,33.92
2023-08-01,121.83,33.92
2023-08-02,121.83,33.92
2023-08-03,121.83,33.92
2023-08-04,121.83,33.92
2023-08-05,121.83,33.92
2023-08-07,121.83,33.92
2023-08-08,121.83,33.92
2023-08-09,121.83,33.92
2023-08-10,121.83,33.92
2023-08-11,121.83,33.92
2023-08-12,121.83,33.92
2023-08-14,121.83,33.92
2023-08-15,121.83,33.92
2023-08-16,121.83,33.92
2023-08-17,121.83,33.92
2023-08-18,121.83,33.92
2023-08-19,121.43,33.92
2023-08-21,121.43,33.92
2023-08-22,121.43,33.92
2023-08-23,121.43,33.92
2023-08-26,121.43,33.92
2023-08-28,121.43,33.92
2023-08-29,121.43,33.92
2023-08-30,121.43,33.92
2023-08-31,121.43,33.92
2023-09-01,121.93,34.92
2023-09-02,121.93,34.92
2023-09-04,121.93,34.92
2023-09-05,121.93,34.92
2023-09-06,121.93,34.92
2023-09-07,121.93,34.92
2023-09-08,121.93,34.92
2023-09-09,121.93,34.92
2023-09-11,121.93,34.92
2023-09-12,121.93,34.92
2023-09-13,121.93,34.92
2023-09-14,121.93,34.92
2023-09-15,121.93,34.92
2023-09-16,121.93,34.92
2023-09-18,121.93,34.92
2023-09-19,121.93,34.92
2023-09-20,121.93,34.92
2023-09-21,121.93,34.92
2023-09-22,121.93,34.92
2023-09-23,121.93,34.92
2023-09-25,121.93,34.92
2023-09-26,122.43,34.92
2023-09-27,122.43,34.92
2023-09-28,122.43,34.92
2023-09-29,122.43,34.92
2023-09-30,122.43,34.92
2023-10-02,122.43,34.92
2023-10-03,122.43,34.92
2023-10-04,122.43,34.92
2023-10-05,122.43,34.92
2023-10-06,122.43,34.92
2023-10-07,122.43,34.92
2023-10-09,122.43,34.92
2023-10-10,122.69,34.92
2023-10-11,122.69,34.92
2023-10-12,122.69,34.92
2023-10-13,122.69,34.92
2023-10-14,122.69,34.92
2023-10-16,122.69,34.92
2023-10-17,122.69,34.92
2023-10-18,122.69,34.92
2023-10-19,122.69,34.92
2023-10-20,122.69,34.92
2023-10-21,122.69,34.92
2023-10-23,122.69,34.92
2023-10-24,122.69,34.92
2023-10-25,122.69,34.92
2023-10-26,122.69,34.92
2023-10-27,122.69,34.92
2023-10-28,122.69,34.92
2023-10-30,122.69,34.92
2023-10-31,122.69,34.92
2023-11-01,122.69,34.92
2023-11-02,122.69,34.92
2023-11-03,122.46000000000001,34.92
2023-11-04,122.16,34.92
2023-11-06,122.16,34.92
2023-11-07,122.16,34.92
2023-11-08,122.16,34.92
2023-11-09,122.16,34.92
2023-11-10,122.16,34.92
2023-11-11,122.16,34.92
2023-11-13,122.16,34.92
2023-11-14,122.16,34.92
2023-11-15,122.16,34.92
2023-11-16,122.16,34.92
2023-11-17,122.16,34.92
2023-11-18,122.16,34.92
2023-11-20,122.16,34.92
2023-11-21,122.16,34.92
2023-11-22,122.16,34.92
2023-11-23,122.16,34.92
2023-11-24,122.16,34.92
2023-11-25,122.16,34.92
2023-11-28,122.16,34.92
2023-11-29,122.16,34.92
2023-11-30,122.16,34.92
2023-12-01,122.16,34.92
2023-12-02,122.16,34.92
2023-12-04,122.16,34.92
2023-12-05,122.16,34.92
2023-12-06,122.16,34.92
2023-12-07,122.16,34.92
2023-12-08,122.16,33.92
2023-12-09,122.16,33.92
2023-12-11,122.16,33.92
2023-12-12,122.16,33.92
2023-12-13,122.16,33.92
2023-12-14,122.16,33.92
2023-12-15,122.16,33.92
2023-12-16,122.16,33.92
2023-12-18,122.16,33.92
2023-12-19,122.16,33.92
2023-12-20,122.16,33.92
2023-12-21,122.16,34.92
2023-12-22,122.16,34.92
2023-12-23,122.16,34.92
2023-12-25,122.16,34.92
2023-12-26,122.16,34.92
2023-12-27,122.16,34.92
