index,datum,javni,zasebni
0,2020-11-20,866.44,328.92
1,2020-12-01,870.14,328.92
2,2020-12-10,871.61,328.92
3,2020-12-20,875.13,328.42
4,2021-01-01,873.69,328.42
5,2021-01-10,873.2,328.41
6,2021-01-20,874.2,329.03
7,2021-02-01,874.5600000000001,328.83
8,2021-02-10,876.51,329.33
9,2021-02-20,875.51,329.53
10,2021-03-01,878.09,329.27
11,2021-03-10,878.09,328.27
12,2021-03-20,877.09,328.27
13,2021-04-01,879.63,328.27
14,2021-04-10,881.23,326.17
15,2021-04-20,881.86,326.17
16,2021-05-01,881.86,326.17
17,2021-05-10,879.37,327.17
18,2021-05-20,879.43,327.41
19,2021-06-01,877.09,327.41
20,2021-06-10,876.79,327.41
21,2021-06-20,875.73,327.41
22,2021-07-01,875.5,327.48
23,2021-07-10,877.37,327.77
24,2021-07-20,878.71,327.77
25,2021-08-01,884.86,327.71
26,2021-08-10,886.52,327.84
27,2021-08-20,889.0,328.04
28,2021-09-01,888.44,328.24
29,2021-09-10,888.85,328.32
30,2021-09-20,889.21,328.32
31,2021-10-01,893.51,328.13
32,2021-10-10,894.57,328.63
33,2021-10-20,895.76,327.63
34,2021-11-01,897.86,327.63
35,2021-11-10,895.16,327.63
36,2021-11-20,895.35,327.03
37,2021-12-01,894.6,327.05
38,2021-12-10,892.91,327.05
39,2021-12-20,892.23,327.07
40,2022-01-01,894.28,326.27
41,2022-01-10,894.36,325.44
42,2022-01-20,891.3100000000001,322.14
43,2022-01-31,889.74,322.07
44,2022-02-10,886.13,319.97
45,2022-02-20,887.7,319.97
46,2022-02-28,887.96,319.97
47,2022-03-10,887.82,321.77
48,2022-03-20,888.36,321.77
49,2022-03-31,888.8,321.77
50,2022-04-10,892.52,320.77
51,2022-04-20,889.89,322.27
52,2022-04-30,890.77,322.16
53,2022-05-10,890.9,323.55
54,2022-05-20,891.69,323.75
55,2022-05-31,890.24,323.75
56,2022-06-10,888.48,324.5
57,2022-06-20,889.64,324.5
58,2022-06-30,891.52,324.5
59,2022-07-10,895.11,327.58
60,2022-07-20,894.93,327.58
61,2022-07-31,894.5,327.58
62,2022-08-10,896.13,327.74
63,2022-08-20,895.15,325.49
64,2022-08-31,892.68,325.43
65,2022-09-10,895.36,325.08
66,2022-09-20,893.6,325.61
67,2022-09-30,891.71,325.61
68,2022-10-10,890.69,324.61
69,2022-10-20,890.39,324.62
70,2022-10-31,891.32,324.33
71,2022-11-10,890.86,324.59
72,2022-11-20,887.49,324.59
73,2022-11-30,885.38,325.58
74,2022-12-10,883.34,325.23
75,2022-12-20,882.38,326.23
76,2022-12-31,882.41,328.23
77,2023-01-10,872.54,324.81
78,2023-01-20,872.47,325.26
79,2023-01-31,873.3,325.26
80,2023-02-10,869.97,325.98
81,2023-02-20,867.39,325.98
82,2023-02-28,868.17,325.98
83,2023-03-10,867.05,324.48
84,2023-03-20,865.07,324.48
85,2023-03-23,865.32,323.61
86,2023-03-24,864.32,323.61
87,2023-03-25,864.52,323.61
88,2023-03-27,864.52,323.61
89,2023-03-28,864.82,323.61
90,2023-03-29,865.42,323.61
91,2023-03-30,865.42,323.61
92,2023-03-31,865.42,323.61
93,2023-04-01,865.27,323.46
94,2023-04-03,865.27,323.46
95,2023-04-04,866.36,323.46
96,2023-04-05,866.82,323.46
97,2023-04-06,866.82,323.46
98,2023-04-07,866.98,323.46
99,2023-04-08,868.98,323.46
100,2023-04-10,868.98,323.46
101,2023-04-11,868.98,323.46
102,2023-04-12,868.86,323.46
103,2023-04-13,869.0600000000001,323.46
104,2023-04-14,869.0600000000001,322.46
105,2023-04-15,869.0600000000001,322.46
106,2023-04-17,869.0600000000001,322.46
107,2023-04-18,869.0600000000001,322.46
108,2023-04-19,869.0600000000001,322.46
109,2023-04-20,870.0600000000001,322.46
110,2023-04-21,869.69,322.46
111,2023-04-22,869.69,322.46
112,2023-04-24,869.69,322.46
113,2023-04-25,869.69,322.46
114,2023-04-26,869.79,322.46
115,2023-04-27,870.85,322.46
116,2023-04-28,870.85,322.46
117,2023-04-29,870.85,322.46
118,2023-05-01,870.02,322.46
119,2023-05-02,870.02,322.46
120,2023-05-03,870.02,322.46
121,2023-05-04,870.55,322.46
122,2023-05-05,870.6,322.46
123,2023-05-06,871.09,322.46
124,2023-05-08,870.34,322.46
125,2023-05-09,871.1,322.46
126,2023-05-10,871.1,322.46
127,2023-05-11,871.24,322.53
128,2023-05-12,870.89,322.53
129,2023-05-13,869.99,322.53
130,2023-05-15,869.99,322.53
131,2023-05-16,869.99,322.53
132,2023-05-17,871.19,321.33
133,2023-05-18,870.41,321.33
134,2023-05-19,871.16,321.33
135,2023-05-20,871.16,321.33
136,2023-05-22,871.16,321.33
137,2023-05-23,871.16,320.33
138,2023-05-24,871.16,320.33
139,2023-05-25,871.16,320.33
140,2023-05-26,870.48,320.33
141,2023-05-27,870.48,320.33
142,2023-05-29,869.48,320.33
143,2023-05-30,870.48,320.33
144,2023-05-31,871.42,320.33
145,2023-06-01,871.35,320.72
146,2023-06-02,871.35,320.92
147,2023-06-03,871.17,320.93
148,2023-06-05,871.42,320.93
149,2023-06-06,871.67,320.93
150,2023-06-07,871.67,320.93
151,2023-06-08,872.67,320.93
152,2023-06-09,871.79,320.93
153,2023-06-10,870.09,320.93
154,2023-06-12,870.09,320.93
155,2023-06-13,870.09,319.93
156,2023-06-14,872.09,320.03
157,2023-06-15,872.09,320.03
158,2023-06-16,867.24,320.03
159,2023-06-17,867.24,320.03
160,2023-06-19,867.24,320.03
161,2023-06-20,868.24,320.03
162,2023-06-21,870.24,319.03
163,2023-06-22,870.24,319.03
164,2023-06-23,870.24,320.03
165,2023-06-24,870.24,320.03
166,2023-06-26,870.24,320.03
167,2023-06-27,871.24,317.83
168,2023-06-28,871.24,317.83
169,2023-06-29,871.16,317.83
170,2023-06-30,871.16,317.83
171,2023-07-01,869.5,317.83
172,2023-07-03,869.5,317.83
173,2023-07-04,868.55,317.83
174,2023-07-05,867.7,317.83
175,2023-07-06,871.3,317.83
176,2023-07-07,871.3,317.83
177,2023-07-08,871.6,317.83
178,2023-07-10,871.6,317.83
179,2023-07-11,871.6,317.83
180,2023-07-12,871.19,317.83
181,2023-07-13,871.19,317.83
182,2023-07-14,870.85,317.83
183,2023-07-15,870.85,317.83
184,2023-07-17,870.85,317.83
185,2023-07-18,870.95,317.83
186,2023-07-19,870.95,317.83
187,2023-07-20,870.95,317.83
188,2023-07-21,870.95,317.83
189,2023-07-22,871.15,317.83
190,2023-07-24,871.15,317.83
191,2023-07-25,867.15,317.83
192,2023-07-26,866.15,317.83
193,2023-07-27,866.15,317.83
194,2023-07-28,867.15,317.83
195,2023-07-29,867.15,317.83
196,2023-07-31,867.15,317.83
197,2023-08-01,867.15,317.83
198,2023-08-02,867.15,317.83
199,2023-08-03,867.15,317.83
200,2023-08-04,867.15,317.83
201,2023-08-05,867.15,317.83
202,2023-08-07,867.15,317.83
203,2023-08-08,867.15,317.83
204,2023-08-09,867.29,317.83
205,2023-08-10,867.29,317.83
206,2023-08-11,867.29,317.83
207,2023-08-12,867.29,317.83
208,2023-08-14,867.29,317.83
209,2023-08-15,867.6,317.83
210,2023-08-16,867.6,317.83
211,2023-08-17,871.27,317.83
212,2023-08-18,870.87,317.83
213,2023-08-19,868.87,317.83
214,2023-08-21,868.87,317.83
215,2023-08-22,868.87,317.83
216,2023-08-23,868.87,317.83
217,2023-08-26,867.87,317.83
218,2023-08-28,866.87,319.83
219,2023-08-29,867.62,319.64
220,2023-08-30,867.62,319.64
221,2023-08-31,867.62,319.64
222,2023-09-01,868.92,319.24
223,2023-09-02,868.92,319.24
224,2023-09-04,868.92,319.24
225,2023-09-05,868.92,319.24
226,2023-09-06,868.86,319.24
227,2023-09-07,867.5600000000001,318.49
228,2023-09-08,866.97,318.49
229,2023-09-09,866.97,318.49
230,2023-09-11,866.97,318.49
231,2023-09-12,867.4,318.84
232,2023-09-13,866.4,318.84
233,2023-09-14,865.92,318.84
234,2023-09-15,864.92,318.84
235,2023-09-16,865.02,318.84
236,2023-09-18,865.02,318.84
237,2023-09-19,864.17,318.84
238,2023-09-20,863.95,318.84
239,2023-09-21,863.95,318.84
240,2023-09-22,863.95,318.84
241,2023-09-23,863.95,318.84
242,2023-09-25,862.95,318.84
243,2023-09-26,864.25,318.84
244,2023-09-27,863.93,318.84
245,2023-09-28,864.93,319.64
246,2023-09-29,864.93,319.64
247,2023-09-30,865.23,319.64
248,2023-10-02,864.28,319.64
249,2023-10-03,867.79,318.64
250,2023-10-04,866.77,320.47
251,2023-10-05,866.74,320.47
252,2023-10-06,866.74,319.47
253,2023-10-07,866.34,319.47
254,2023-10-09,866.34,319.47
255,2023-10-10,866.34,319.47
256,2023-10-11,867.13,319.47
257,2023-10-12,866.93,319.47
258,2023-10-13,866.19,319.47
259,2023-10-14,866.19,319.47
260,2023-10-16,866.19,319.47
261,2023-10-17,865.23,318.64
262,2023-10-18,865.23,318.64
263,2023-10-19,865.92,318.64
264,2023-10-20,867.21,318.64
265,2023-10-21,867.21,318.64
266,2023-10-23,867.21,318.64
267,2023-10-24,867.21,318.64
268,2023-10-25,867.61,318.64
269,2023-10-26,867.61,318.64
270,2023-10-27,867.61,318.64
271,2023-10-28,867.61,318.64
272,2023-10-30,867.61,318.64
273,2023-10-31,866.9,318.64
274,2023-11-01,867.48,318.84
275,2023-11-02,867.48,318.84
276,2023-11-03,868.83,318.84
277,2023-11-04,868.83,318.84
278,2023-11-06,868.83,318.84
279,2023-11-07,869.3100000000001,318.84
280,2023-11-08,869.3100000000001,318.84
281,2023-11-09,869.0600000000001,318.84
282,2023-11-10,867.0600000000001,318.84
283,2023-11-11,867.0600000000001,318.84
284,2023-11-13,867.0600000000001,318.84
285,2023-11-14,867.86,318.84
286,2023-11-15,867.86,318.84
287,2023-11-16,866.61,317.84
288,2023-11-17,866.61,317.84
289,2023-11-18,866.61,317.84
290,2023-11-20,866.61,317.84
291,2023-11-21,866.29,318.84
292,2023-11-22,866.29,318.84
293,2023-11-23,866.29,318.84
294,2023-11-24,866.29,318.84
295,2023-11-25,866.29,318.84
296,2023-11-28,866.69,318.84
297,2023-11-29,866.69,318.84
298,2023-11-30,866.89,318.84
299,2023-12-01,867.14,318.84
300,2023-12-02,867.89,318.84
301,2023-12-04,867.89,318.84
302,2023-12-05,867.89,318.84
303,2023-12-06,866.49,318.84
304,2023-12-07,866.49,318.84
