datum,javni,zasebni
2020-03-10,506.14,480.39
2020-11-20,520.58,467.39
2020-12-01,520.78,467.39
2020-12-10,520.58,467.39
2020-12-20,521.32,467.39
2021-01-01,525.22,467.39
2021-01-10,524.18,467.39
2021-01-20,523.1,465.49
2021-02-01,524.58,465.49
2021-02-10,524.57,465.49
2021-02-20,526.54,465.49
2021-03-01,528.74,464.49
2021-03-10,528.49,464.49
2021-03-20,528.45,464.49
2021-04-01,529.35,463.99
2021-04-10,529.35,463.99
2021-04-20,529.36,463.99
2021-05-01,529.36,463.99
2021-05-10,529.17,462.99
2021-05-20,529.17,462.99
2021-06-01,530.07,462.99
2021-06-10,531.07,461.99
2021-06-20,531.07,461.99
2021-07-01,531.07,461.99
2021-07-10,530.03,461.99
2021-07-20,531.03,461.89
2021-08-01,529.83,461.89
2021-08-10,528.83,461.89
2021-08-20,529.52,461.89
2021-09-01,529.52,461.89
2021-09-10,529.52,461.89
2021-09-20,530.32,461.89
2021-10-01,529.43,461.74
2021-10-10,530.43,461.74
2021-10-20,529.32,461.74
2021-11-01,530.54,461.74
2021-11-10,531.63,461.74
2021-11-20,531.63,461.74
2021-12-01,532.62,461.74
2021-12-10,531.78,461.81
2021-12-20,531.78,461.81
2022-01-01,535.78,461.81
2022-01-10,534.68,456.39
2022-01-20,537.92,456.19
2022-01-31,537.74,455.39
2022-02-10,539.02,454.99
2022-02-20,538.52,455.57
2022-02-28,539.53,455.57
2022-03-10,539.24,456.17
2022-03-20,541.2,455.17
2022-03-31,543.0,455.17
2022-04-10,541.2,455.17
2022-04-20,542.1,455.17
2022-04-30,543.63,455.17
2022-05-10,545.68,456.67
2022-05-20,545.58,456.67
2022-05-31,544.08,456.67
2022-06-10,545.9,456.67
2022-06-20,544.9,456.67
2022-06-30,545.8,456.67
2022-07-10,546.53,460.99
2022-07-20,546.53,461.49
2022-07-31,546.61,461.53
2022-08-10,549.43,462.09
2022-08-20,548.43,462.09
2022-08-31,549.03,462.09
2022-09-10,550.05,461.92
2022-09-20,550.65,463.25
2022-09-30,550.18,463.25
2022-10-10,550.98,463.07
2022-10-20,550.36,463.07
2022-10-31,553.7,463.07
2022-11-10,554.92,463.07
2022-11-20,553.17,463.07
2022-11-30,553.29,463.07
2022-12-10,552.94,463.07
2022-12-20,552.94,464.63
2022-12-31,552.94,463.83
2023-01-10,552.13,465.03
2023-01-20,551.89,463.97
2023-01-31,551.87,463.97
2023-02-10,553.87,463.17
2023-02-20,548.77,463.17
2023-02-28,547.46,463.17
2023-03-10,550.46,462.17
2023-03-20,549.09,462.17
2023-03-23,549.09,462.17
2023-03-24,550.09,462.17
2023-03-25,550.09,463.17
2023-03-27,550.09,463.17
2023-03-28,550.09,463.17
2023-03-29,550.09,463.17
2023-03-30,550.09,463.17
2023-03-31,550.09,463.17
2023-04-01,549.09,463.17
2023-04-03,549.09,463.17
2023-04-04,549.14,462.17
2023-04-05,550.32,462.17
2023-04-06,551.62,462.17
2023-04-07,551.72,461.17
2023-04-08,551.72,461.17
2023-04-10,551.72,461.17
2023-04-11,551.72,461.17
2023-04-12,552.12,461.17
2023-04-13,552.12,461.47
2023-04-14,552.12,462.03
2023-04-15,552.12,462.03
2023-04-17,552.12,462.03
2023-04-18,552.12,462.03
2023-04-19,548.93,462.03
2023-04-20,548.33,463.03
2023-04-21,548.33,463.03
2023-04-22,548.33,463.03
2023-04-24,548.33,463.03
2023-04-25,548.33,462.03
2023-04-26,548.33,462.03
2023-04-27,547.23,463.03
2023-04-28,547.23,463.03
2023-04-29,547.23,463.03
2023-05-01,547.23,463.43
2023-05-02,547.23,463.43
2023-05-03,547.23,463.43
2023-05-04,547.23,464.43
2023-05-05,551.22,464.43
2023-05-06,546.52,464.43
2023-05-08,546.52,464.43
2023-05-09,552.41,464.43
2023-05-10,553.42,464.43
2023-05-11,554.42,464.43
2023-05-12,554.42,464.93
2023-05-13,554.42,464.93
2023-05-15,554.42,464.93
2023-05-16,553.42,464.93
2023-05-17,553.42,464.93
2023-05-18,553.42,464.93
2023-05-19,553.42,464.93
2023-05-20,553.42,464.93
2023-05-22,553.42,464.93
2023-05-23,553.42,464.18
2023-05-24,553.23,464.93
2023-05-25,553.23,464.93
2023-05-26,553.23,464.93
2023-05-27,554.23,464.93
2023-05-29,554.23,464.93
2023-05-30,554.23,464.93
2023-05-31,554.23,464.93
2023-06-01,555.43,464.93
2023-06-02,553.24,463.93
2023-06-03,553.24,461.93
2023-06-05,553.24,461.93
2023-06-06,553.24,461.93
2023-06-07,553.49,462.93
2023-06-08,553.68,462.93
2023-06-09,554.68,462.93
2023-06-10,554.68,462.93
2023-06-12,554.68,462.93
2023-06-13,554.68,462.93
2023-06-14,554.68,465.13
2023-06-15,553.68,465.13
2023-06-16,553.68,465.13
2023-06-17,553.59,465.13
2023-06-19,553.59,465.13
2023-06-20,553.59,465.13
2023-06-21,553.59,465.13
2023-06-22,553.59,465.13
2023-06-23,553.59,465.13
2023-06-24,549.25,465.13
2023-06-26,549.25,465.13
2023-06-27,549.25,465.13
2023-06-28,549.25,465.13
2023-06-29,554.59,465.13
2023-06-30,554.44,464.13
2023-07-01,555.94,464.13
2023-07-03,555.94,464.13
2023-07-04,548.71,465.13
2023-07-05,548.71,465.13
2023-07-06,548.71,465.13
2023-07-07,554.04,465.13
2023-07-08,554.04,465.13
2023-07-10,554.04,465.13
2023-07-11,554.04,465.13
2023-07-12,554.04,465.13
2023-07-13,554.04,465.13
2023-07-14,554.04,465.13
2023-07-15,554.14,464.13
2023-07-17,554.14,464.13
2023-07-18,554.14,464.13
2023-07-19,554.14,463.13
2023-07-20,554.14,464.13
2023-07-21,554.14,464.13
2023-07-22,555.82,464.13
2023-07-24,555.82,464.13
2023-07-25,555.82,464.13
2023-07-26,556.82,464.13
2023-07-27,556.82,464.13
2023-07-28,556.82,464.13
2023-07-29,556.82,464.13
2023-07-31,556.82,464.13
2023-08-01,557.82,464.13
2023-08-02,557.32,464.13
2023-08-03,557.32,465.13
2023-08-04,557.32,465.13
2023-08-05,557.32,465.13
2023-08-07,557.32,465.13
2023-08-08,557.92,465.13
2023-08-09,557.92,465.13
2023-08-10,557.92,464.13
2023-08-11,557.92,464.13
2023-08-12,557.92,464.13
2023-08-14,557.92,464.13
2023-08-15,557.92,464.13
2023-08-16,557.92,464.13
2023-08-17,557.92,464.13
2023-08-18,557.92,464.13
2023-08-19,557.92,464.13
2023-08-21,557.92,464.13
2023-08-22,556.92,464.13
2023-08-23,555.72,464.13
2023-08-26,557.52,464.13
2023-08-28,557.52,464.13
2023-08-29,557.52,464.13
2023-08-30,557.52,464.13
2023-08-31,557.54,464.13
2023-09-01,558.54,465.13
2023-09-02,556.79,465.13
2023-09-04,556.79,465.13
2023-09-05,556.78,465.13
2023-09-06,556.78,463.13
2023-09-07,556.98,463.13
2023-09-08,558.39,463.13
2023-09-09,558.39,463.13
2023-09-11,558.39,463.13
2023-09-12,558.44,463.13
2023-09-13,558.44,463.13
2023-09-14,559.44,463.13
2023-09-15,557.44,463.13
2023-09-16,557.44,463.13
2023-09-18,557.44,463.13
2023-09-19,557.44,463.13
2023-09-20,557.44,463.13
2023-09-21,557.54,463.13
2023-09-22,556.67,463.13
2023-09-23,556.67,463.13
2023-09-25,556.67,463.13
2023-09-26,556.67,463.13
2023-09-27,556.67,463.13
2023-09-28,556.67,463.13
2023-09-29,556.67,463.13
2023-09-30,556.67,463.13
2023-10-02,558.01,463.13
2023-10-03,558.01,462.13
2023-10-04,559.11,463.13
2023-10-05,558.18,462.23
2023-10-06,553.7,461.31
2023-10-07,553.7,461.31
2023-10-09,553.7,461.31
2023-10-10,559.05,462.11
2023-10-11,560.03,462.11
2023-10-12,560.03,462.11
2023-10-13,560.03,462.11
2023-10-14,560.03,462.11
2023-10-16,560.03,462.11
2023-10-17,560.96,462.11
2023-10-18,561.05,462.11
2023-10-19,561.25,462.11
2023-10-20,561.25,462.11
2023-10-21,561.25,462.11
2023-10-23,561.25,462.11
2023-10-24,561.25,462.11
2023-10-25,561.25,462.11
2023-10-26,560.25,462.11
2023-10-27,560.25,462.11
2023-10-28,560.35,462.11
2023-10-30,560.35,462.11
2023-10-31,560.35,462.11
2023-11-01,562.43,463.13
2023-11-02,562.43,463.13
2023-11-03,562.43,463.13
2023-11-04,562.43,463.3
2023-11-06,563.33,463.3
2023-11-07,563.33,463.3
2023-11-08,563.33,462.3
2023-11-09,563.6,462.3
2023-11-10,563.49,462.3
2023-11-11,563.49,462.3
